id,title,content,label
397,"Intermittent AirCon + Faulty Lightings","4th time staying here at Amara Sanctuary Sentosa, thus decided to bring along 2 x young kids along for a Family Staycation. 

Decided to take up the Courtyard Suite as the highlight was a Private Jacuzzi Pool. However when we decide to go for a night swim with kids, the lights was faulty, thus it really dampen the mood, and we didnt really got thr chance to fully enjoy the room facilities at all.

Lastly, just when we wish to have a good night rest, the air-conditioner unit was unable to adjust its temperature. It was at 19 degree during the whole night, and we were shivering, waking up and never had a good rest.

Not the Amara service I was expecting.","Facilities & Services"
398,"Bad Experience","We arrived at the hotel lobby with no staff to help with unloading. me and my husband unloaded all the stuff ourselves. there were only two staff around at check in. The staff who attended to me, I only remembered him telling me, only tomorrow we will know if we can check out later than 12 noon. I think most of us are aware about the late check out procedures but I only needed him to put the request up so that the next staff that serves me would know I had requested for late check out in advance. We were then sent to our room, but Realized they had given us the wrong room. Because of theconfusing info on agoda(pictures with the living area,which the couple suite does not have)I thought I had paid for the family suite, but was given the Couple suite . Luckily, the family suite was available and they shifted us up. I requested extra pillows and towels, it took forever to send. and the reception was forever not picking up. Quite a disappointment with the standard and service of Amara.","Facilities & Services"
399,Disappointing,"Its sad that a place with such potential can be so disappointing.

My partner had pre-booked a cake with the staff beforehand to give me a surprise for my birthday. She specifically stipulated that this was not to be mentioned at check-in (so as not to ruin the surprise). Yet, at check-in, I was asked what time should the cake be brought in. Obviously, there was no more surprise. They offered late check out, which could only be confirmed later on in the day.

Birthdays/anniversaries and special dates only come along once in a while. If they cannot do this simple thing right, I think the quality of service (or lack thereof) speaks for itself. 

That aside, I appreciate the interior design of the Premier room, and the view and daybed by the window. However, my partner and I were sneezing during our stay as the place was a little dusty. Our noses were fine after checking out the following afternoon. 

I think this has great potential to be a sanctuary resort at such a prime location. But to the service staff and especially the management - you have your work cut out for you to achieve that. 
","Facilities & Services"
400,"Good location for a cosy staycation ",Nil,Location
401,Facilities,"Generally the rooms are well kept and clean. However, just find the flushing system a bit noisy and we could hear when the neighbhour is using the washroom.",Room
402,"Wonderful Hotel Service Staff","We were given an early check-in and late check-out the next day. The stay includes a $15 dining voucher, with no min spending. 

The hotel has a beautiful kids pool with a slide and shaded under trees. My children said that the slide was dangerous and not fun though. Perhaps the hotel could check on that. Thedream pool looks like a beautiful place to relax and retreat to, hidden amidst lush greenery. There is also a sky pool, which overlooks the coast, and is more popular.

There is always kacang puteh, which are light snacks, and drinks at the lobby. The beach is 5 mins away, and there is a free bird show and kids play area there. 

Staff at Shutters were extremely helpful and friendly. Gave the children free juice and helped a lady who was fainting.A staff from housekeeping was very concerned when my child fell. He carried him and asked for ice immediately. Another staff also carried my child to the lobby.

Overall I felt that the staff are very warm and caring people.","Facilities & Services"
403,"Love the nature","Great place to be near nature.",General
404,"Very pleasant hotel compound, but interior facility can be better","Larkhill Terrace: 
Interior toilets could be installed with more mirrors. Currently, the interior toilet does not have any mirrors being installed, so as the shower area. 

During our stay, there was also a group checked in at the Larkhill Terrace. The group was big andpartying outside the verandah. The crowd was noisy and they had arguments. It was not pleasant for children. Hotel security should be enforced to avoid big group crowding around common area of the hotel premise. ","Facilities & Services"
405,"Fantastic room. Good view. ","The room is great. Comes with a sea view. And the facility is not very crowded, thus ideal for a quiet stay. Food at Shutter resturant was fantastic with special recommendation for the black cod, seafood agilo olio and carbonara which are spectacular.",Room
406,"Good escape","Booked this room to celebrate my friends birthday, and she loves this place, just that at night its very dark and we can only stay in the room. Theres a lot of mosquito around too. Whats disappointing was i kept a cake with them and it took them 30mins to find where it is in the fridge. Some part of the cake was melting too. Overall quite a good experience for a villa.","Facilities & Services"
407,"Fancy hotel without a lot of character","the staff were great and polite, location close to Sentosa casino, but the whole place seemed to lack any character. For the cost of the room, i was disappointed to come back late and no mini bar nor snacks. i have stayed in other places in Sinapore for less than what i paid for a night here and and been much more impressed","Facilities & Services"
408,"Amazing hotel ","Best for families and couples ",General
409,"Good hotel","Good hotel",General
410,"Not up to stardard ","Long waiting time for check in 
Room with antslizard 
Location not convince for non driver 
","Facilities & Services"
411,"Pleasant stay","Booked villa, stayed a night at Villa one. Overall comfortable stay, except the mosquitoes which eventually eradicated once the mosquito coil was activated. Pool has lots of small leaves, due to rain. Housekeeping unable to clear it all up due to the minute size of the leaves. ","Facilities & Services"
412,"Good choice when opting for isolation and privacy amidst a leisures-packed area.","Pros: spacious room. 2 pools to choose for the hotel area, both are good. Bottled water free by the pool, no surveillance, all self-serviced, feel like home.

Cons: Food is way pricey. Not flexible with the discount coupon policy (only can avail discount if dining in the restaurant. If ordered from the restaurant to room then no discount.

Overall, good stay. Would recommend.

","Facilities & Services"
413,"Awesome ","I really enjoyed staying here. Service was super good. The place wad clean n I love e pool in e room. Only disappointing thing is we ordered room service but mypartners order came wrong. But overall2 thumbs up","Facilities & Services"
414,"Staycation with family","Planned a staycation for mums early birthday celebration and my wedding anniversary. Hotel was sweet to surprise us with two pieces of cake for each room with a little decor in the rooms. It was a good one night stay. ","Facilities & Services"
415,"Amara santuary resort definitely give u excellent services","They give me a free upgrade room which I very happy about it coz it my birthday will definitely come again","Facilities & Services"
416,"Dirty hotel","Hotel is old and dirty. Hosted Amara many times but this will be the last time. Hotel staff was way too rude to us ","Facilities & Services"
417,"Good for a quiet retreat","Nice large room within a quiet location in sentosa. Good for staycation to escape the city for a weekend. ",Room
418,"Excellent stay","calm, clean, good amenities, perfect location by sea side. Perfect stay for a couple by beach side",Location
419,Okay,"Booked this as we had coupon for massage here. ","Facilities & Services"
420,"Crappy staff but nice place","I enjoyed the hotel very much, and the in room dining was fantastic. But their service staff had really bad standards. Basically they had a room shortage, but they also had this policy whereby you can extend by per hour for if I recall correctly $15/hour.I was very hungover so I decided to simply extend a couple of hours. They kept calling the room and disturbing my sleep to try and get us to give up the room when I already clearly told them I was going to pay for the extension. Eventually they persuaded us by saying well waive off the past few hours if we check out right now.And so we did, went to the front counter, and their staff DENIED making us the deal and wanted us to pay the $60 for 4 hours of extension. It went a whole circle of them denying calling us and insisting nobody made that statement. After blowing my top then they finally waived off the amount. Wasnt a pleasant experience ","Facilities & Services"
421,"Disappointing Stay","Lack of staff during check-in, so we had to wait for 20 mins before we were attended to. 

We were given a free upgrade from Verandah Suite to the Larkhill Terrace. Room was big and well furnished but it was not sound proof - there were many peacocks around the area. Peacocks kept making noises non stop throughout the night. As a result, we did not manage to get a good rest. ","Facilities & Services"
422,"Nice Cozy place","Nice cozy place had a good time over during my days..",General
423,"Very Good Service from the Hotel","From the front desk to the room service, the services rendered were just impeccable. Thank you very much to the team in the hotel.
My daughter and her friends enjoyed her stay very much.
I still like the sanctuary setting and it is really peaceful.
Great breakaway stay from the hectic urban living.","Facilities & Services"
424,"Quiet and comfortable room","My third staycation at Amara Sanctuary. Always my choice when I am staying at Sentosa. Clean and big room and you dont actually see too many people walking around. Big bathroom is a major plus. Friendly staff and good location.",Room
425,"friendly staff","Quiet, near nature and private pool ","Facilities & Services"
426,"Great accommodation!","Amara Sanctuary Resorts gives the best accomadation with great facilitiesand its conveniences around sentosa island too. ",General
427,"Good location with reasonable price. ","Good location with reasonable price. ",Location
428,"Good for family staycation ","My boy enjoyed his stay, good for family! ",General
429,"happy w d service ","Cleanliness and facilities in the room was up to our expectations. ","Facilities & Services"
430,staycay,"value for money",General
431,"Nice place to chill","The staff were very helpful and enthusiastic ","Facilities & Services"
432,"Nice getaway from busy Singapore","The room is great, clean, and has a good view. I love the infinity pool at the top floor. Location wise is a bit far from all amenities, but you can drive in and park in the hotel for free. Car park in Sentosa is not expensive as well, just dont park in RWS.",Room
433,"My preferred staycation location","Good location, very tranquil surrounding, and quite accessible to Palawan beach as well, walking distance to universal studiocasino ",Location
434,Decent,"Room is spacious and bed is comfortable. I paid a little more to get a balcony but only to find that it was facing a wall and there was only one chair given at the balcony. Toilet is spacious too but for some reason the doors cant be locked. 
The room comes equipped with a Smart TV which allowed us to stream Youtube videos. The nespresso machine also gave avariety of espresso flavours to try as compared to the usual Nescafe pkts. 
The hotel is located quite a distance frm RWS which made walking to and fro a hassle especially since it was raining the night we came
Overall it was a decent stay ",Room
435,"Good place but pricey ","Good place in sentosa near train station. Nice pools but not all in the sun. Would stay here again given the chance. ","Facilities & Services"
436,"Good for a day or 2 staycation ","Good for a day or 2 staycation",General
437,"Romantic getaway","We enjoyed the short stay there, it was clean, quiet and nice.",General
438,"Nice for couples as well","A very relaxing resort like feel staying at the Amara. A friend had her wedding there and we as guests, stayed at the hotel for 2 nights. The bathroom water would not drain well and would flood the bathroom floor, but upon advising staff, we were quickly offered another room on a higher floor. A very family friendly place and a different relaxing experience away from the business of Singapore.","Facilities & Services"
439,"Overall Average","Nice hotel, Friendly staff but there was no scenery as expected cause from what i thought it should have since the location was at sentosa but was disappointed upon arrival..But luckily the staff was friendly and helpful.","Facilities & Services"
440,Normal,"The places is accessible, the staff was not helpful or rather rude. The location was good. Cleanliness not bad",General
441,"Splendid day!","Interesting placecheerful staff who even went the extra mile for giving me a complementary breakfast for my wife birthday.Good job!","Facilities & Services"
442,"Quiet hotel in Sentosa","Hotel common facilities are good, though I would have prefer if the windows arent so dirty. Housekeeping shld be better","Facilities & Services"
443,"awesome place for a weekend gataway",excellent,General
444,"Disappointing Stay","day bed was flooded with water. Room was not properly clean. Coffee machine spoilt. Bath tub was not clean properly and with yellowish stain which is oily.","Facilities & Services"
445,"Quiet holiday","I was a upgraded to a courtyard and veranda room. We were delighted to seek the black and white unit comes with a large room, a couch in the verandah installed with a ceiling fan.

The private jacuzzi pool is great for family bonding. You could sip your favourite drink and chit chat with you favourite music played in the background if you bring along a blue tooth speaker.

Definitely a good choice if you want a quite and private dtsycation.",Room
446,"Good location, okay hotel","It is good location although we need to spare several minutes to reach Universal Studio. The hotel is okay: clean, airy, good size for kids to run around and swimming ",Location
447,"Good for family that aim to relax.","I think they are shorthanded during festive seasons, quite a lot of screw up during check in ","Facilities & Services"
448,"Very nice and relaxing stay","Quiet, nice and peaceful surroundings, price is quite reasonable too.",General
449,"great place ","staff was a bit unfriendly and unwelcoming. spent a great deal of time waiting for a room. ","Facilities & Services"
450,"Nice inner jacuzzi tag with room","Beautiful room with quiet atmosphere... but back door of pool room seems not able to lock , so got to ensure room front and back door is to be locked at all times.",Room
451,"Relaxing weekend staycation","Relaxing location with less crowd and noises, suitable for young children",Location
452,"hotel environment is quiet","quiet, moderate cleanliness and room is fine.
hope they can include breakfast to the deal as the price is not cheap and the check in process take too long","Facilities & Services"
453,"staffs were slow","Check in took at least 1 hour, staffs never pick up the phone, i am so disappointed on their staffs performance altogether. The hotel is basically short of staffs and do not train their staffs properly. ","Facilities & Services"
454,"Great stay. ","I had left an important document in the safe but they kept it for me and sent me an email. Thank you so much !","Facilities & Services"
455,"Back again for the 4th time ","Prices were rather steep due to booking made for peak period. 

Friendly and helpful receptionist. Quiet and peaceful environment. Like the hotels new idea of making the possible necessities e.g., drinks, sun block for guests at the lobby instead of stocking up beverages in the bar fridge. Items for sale are also reasonably priced. ","Facilities & Services"
456,"Clean and pleasant stay","Room was spacious and clean. Just that it was not very soundproof as we can hear the staff chatting at the corridor ",Room
457,Great!,"Nice and relaxing location. Showerhead was a little wonky but lovely bathroom. :)","Facilities & Services"
458,"good for staycation","good getaway. aramsa is convenient and staff extremely friendly and helpful.will be back here for sure!",General
459,Cleanliness,"The room is fantastic and clean. ",Room
460,"u really have to wait for your to be ready","Usually most hotel room will be ready for check in 1 to 1.5hr earlier although it stated 3pm. We only got to checked in at 3.10pm. They took longer time to tidy up the room. ","Facilities & Services"
461,"Nice surroundings for children","Overall environment was nice, with free roaming peacocks. Quiet and serene",General
462,"Total Unpleasant Stay!","Nightmare staying at Amara for the 1st time! Very bad customer service, late check-in, no swim towels, doors not sound proof so you actually hear the damn buggys travelling up and down outside your porch even during midnight (applicable for Larkhill Terrace, not sure about the other rooms). Dont expect such poor service for the price paid!","Facilities & Services"
463,"Worst stay ever","Poor sound insulation. Noisy place. Could not have a good rest",General
464,"nice a d cosy","Value for money",General
465,"Villa wasn't up to standard for the price","It was an unpleasant stay. Villa was run down and not well maintained. Lack of staff mending the front counter. Provided feedback and received a template drafted reply from their management. Will never head there again. There are better hotels at Sentosa for that kinda price. Capella is still the best.",General
466,"Quiet and peaceful location","alway from the Sentosa crowd 
Value for money
Pool need to be better maintain
Excellent customer service at the front desk
",Location
467,"Great Hospitality, location and staffs","Booked 2 rooms for a short gateway.
Stayed with a 3 months old baby, 4 yr old child, 61 yr old senior citizen and the stay here in Amara was 1 of the best and memorable. It caters to all our needs. Room is spacious. Thumps up to the kacang puteh station which brings back the good O feeling from the past. Staffs were friendly and helpful. All the pool and jacuzzi was good. ",General
468,"nice and clean hotel ","nice and clean hotel ",General
469,"Great place to get away qithin singapore for short holiday","There were peacocks roaming around freely, back to nature. Room is big and spacious even for delux room.Staffs r friendly and accommodating when requesting for late check out. Overall experience is good. ","Facilities & Services"
470,"Very big room and luxurious","Would definitely go back again",General
471,"Cosy ","Love how its cosy and welcoming at Amara Sanctuary Resort. The room I got was clean and comfortable. Thank you for the pleasant stay! ",Room
472,"Its great for a quiet and relaxing retreat","Great place !",General
473,"Value for money","this place is value for money. staff has good attitude
",General
474,"nice stay","stay was pleasant n nice... staff ok.. cleanliness n all good.. booked super last min.. price reasonable.. free roaming peacocks n peahens... not really near the monorail but they do have shuttle bus.. overall good... ","Facilities & Services"
475,ok,ok,General
476,"peaceful and relaxing place","will choose this resort again next time also",General
477,"Amazing Sanctuary","It was our first staycation at sentosa and we booked the Verandah Suite for a night. The room was huge and the facilities were great. The view from the room was amazing. However, the floors werent well maintained and the room was not very clean. Overall, it was a pleasant stay.",Room
478,na,na,General
479,"Relaxing staycation","The place is located near nature with peacocks roaming freely around the premise. Room is clean.",Location
480,"Good Place!","We had a nice experience there. Clean good room.",Room
481,"Awesome Amara","Outstanding hideaway from the attractions. Just a short walk from the imbiah station. ",Location
482,"Excellent staycation","We were upgraded to a suite that was perfect for our little staycation. This is a wonderful surprise birthday present for my boyfriend.","Facilities & Services"
483,"Great location ","An ideal hotel for Universal Studios, which is a short walk away. Clean rooms, helpful staff, great spa.",Location
484,"Pleasantly surprised","I was told that the place could be a little run down but to my pleasant surprise, it is a nice place. Romantic place I would put it. Away from the mass of people in rws. It is a short walk away to get to the restaurants in the main area.

Best was staff... service was attentive and good!",Location
485,"Great and Relaxed staycation ","Facilities well maintained. Hotel Room was clean, spacious and comfortable. Friendly staffs. :-)","Facilities & Services"
486,"Great Getaway! ","Surrounded by nature and near beach.",Location
487,"not a too satisfactory stay","check in was slow. room isnt clean properly. some issue happened in between but the duty manager manage to resolve it. 
","Facilities & Services"
488,"Stayed in October,  Stayed again in November ","If anybody says anything Bad about this Hotel - I can safely say that there is something wrong with that person.
Trust me - Before Checking out, You start planing to comeback again.
",General
489,"Budget hotel and good location ","Since its a cheap hotel in the town area, dont expect much from the hotel service, room and facilities. Nevertheless, its still a comfortable place to stay in. Great location in orchard.","Facilities & Services"
490,"Booked under Agoda special offer","The reception was being renovated, but once past that, you would not have known any alterations were in progress. Near to shops and restaurants, so no need to use facilities.",General
491,"Don't stay here unless under SGD170. Not worth it!","Staff unfriendly. Answer question with attitude and arrogance. Hotel room isdark, curtain in thin and single see-through thin lining only, not that of normal hotel curtain. ONLY young chinese bellboycleaner lady are nice and courteous. Else, dont stay here.","Facilities & Services"
492,"Not as good as expected","Last time I was at this hotel, it was around 15 years ago when traveling with my parents in my early teens. I was very excited when booking this hotel again in Feb 2017. 

Before booking my stay, I contacted the hotel reservation desk to make sure I could get an early check-in since I knew my flight from Melbourne - Singapore was arriving early. The email received was the generic response which you get from all hotels: It will depend on availability but we will endeavor checking you into your room as soon as possible. I was happy with the response since this is how hotels operate and you cant blame them for that. 

I arrived at the hotel at around 8am, tired after a long flight. The staff at the counter was very cold, couldnt check me in early, I was told to come back around 10am and advised that I could sit in the lounge and wait. I asked for a bottle of water and if there was a shower I could use to freshen up, she replied in a very rude way: Go to the swimming pool upstairs and ask for the staff, he will show you. Left my luggage at the reception and went to the swimming pool.

I asked for a towel and the location of the shower to the pool staff, he didnt even reply, just pointed to the towel rack and when I asked for the shower again, he just pointed with his finger while sending a txt msg using his mobile phone. 

I tried to relax until 10am and went back to the check-in counter. Another staff then advised that my room wasnt ready and to come back at 12pm. Came back at 12pm after a short walk on Orchard road. There was another staff at the counter, I was advised that check-in was at 2pm. The other staff didnt even pass the message to his colleague. I waited in the lounge, exhausted and very irritated. After an hour (1pm) I went back to the reception,there was a big line of people, another staff was then letting other guest check in early. By the time I was at the front another staff told me that check-in was 2pm. This time I cracked it, was furious and","Facilities & Services"
493,"Good but old","Good hotel but quite old",General
494,"
                                        ","Many ants found in the room.",General
495,"
                                        ","Many ants in the room.",General
496,"
                                        ","Clean, spacious and comfortable room. Staff are friendly.",Room
497,"NICE HOTEL","I like",General
498,"NICE HOTEL ","The staff very friendly especially the concierge ... they explain how to go where and where we can eat... very nice person","Facilities & Services"
499,"Good hotel in very good location","Good hotel close to Orchard so easy to get every where",Location
500,"Good hotel in very good location","Good hotel and reasonably priced for singapore",Location
501,"Good hotel","Is in a great location although hotel is getting a bit dated or maybe I have stayed there to many times",Location
502,"Good location worth the price","Overall room condition is newly renovated, will be back again next time.",General
503,"Great location","Pro: great location, multiple types of restaurants, nearby shopping mall 

Cons: old hotel, old carpet in my room with some wet smell",Location
504,"Orchard Road Great Location","OPH I have stayed many times - but only when their rate is reasonable...great location for Orchard Road and good surrounds.Rooms are renovated and very comfortable. Good restaurants and cafes nearby.Easy",Location
505,"overall stay","by far one of our best stays!we had the biggest room which overlooked the pool. breakfast was great and the location was just nice",Room
506,CEO,"This hotel needs a renovation badly...",General
507,Strategic,"Strategic location, lots of shopping and food choices nearby",Location
508,"Home away from Home","Been here many times. Always comfortable here.Good room and bed.Several excellent restaurants.Nice swimming pool.convenient to AL Orchard Road shopping, dining and Night Life.","Facilities & Services"
509,"Strategic and hospitality","We satisfied stay at this hotel, the location is strategic and the service quite good.",Location
510,Fantastic,"Great and helpful staff. Also located at the edge of Orchard road but near to food court, McD and other",Location
511,Perfekt.,"Good value for money in expensive Singapore.....",General
512,"
                                        ","POOL Renovated - Great",General
513,"Short stay ","Location is not bad with Chinese restaurant at level 1 and many eateries nearby.",Location
514,"
                                        ","room was too small for the price paid. rooms are old as well. ",Room
515,"The hotel is in Orchard Road..... and lots of shops and restaurants nearby.","Our first time to stay in this hotel........ busy hotel.The breakfast is not too many choice...... sometime hectic with guests ......the restaurant is too small and people have to queue for breakfast.

Overall stay .... was good hotel, clean and spotless.....",General
516,Business,"Nice and clean and good location.",Location
517,"Surprised and very Comfortable","Not expecting a balcony in the room especially one that faces a garden.Nice view greet me every morning and I really enjoyed my stay.",General
518,"Fantastic location","Excellent staff and good amenities",Location
519,"near city centre hotel","neae to orchard to see night sight seeing",Location
520,"Love the hotel and staff are wonderful","Fridges are not cold",General
521,"nice hotel..... very helpfull staff.... ","They give me up grade room...Cause at that time i went there with 3 kids","Facilities & Services"
522,"Price little high but location and all other facilities very nice if you reduce yr price get more cu","Nice ","Facilities & Services"
523,"Good value for location ","Location is close to good Shopping and eating. Rooms were clean. No time to use pool but looked good. I think it was good value for the location.",Location
524,"Good location","Good location reasonable price. ",Location
525,"Hotel in great location. Rooms are comfortable. . Bathroom has a tub  but not a separate shower.","Pros. Great location. Plenty of places to eatand drink near by. Good pool and gym.
Cons. Breakfast only okay. standard rooms small, shower is over the bath. ",Location
526,"good location","good location at orchard road, room is average, standard hotel.",Location
527,"Still as good as usual","Its still as good as my previous reviews, upgrading have been done in certain areas of the hotel to give it a fresh look.Location is still its main selling point beside the room size.",Location
528,Non,Non,General
529,"Good value for the money","The location is really good and the facilities are all in good condition - the pool was closed when I was there though.","Facilities & Services"
530,"Wonderful Staff from Orchard Parade","Orcard Parade is a very clean old grand hotel ... and it comes with the best of staff in every department particularlyfrom the receptions from Club house 17th floor. Am deeply greatful. ",General
531,"excelent hotel","Good Location, near shopping centre",Location
532,"Excellent location for a reasonable price.","Hotel is oldish and a bit worn out but the location in one end of Orchard and very price worthy for someone who dont go to Singapore to stay at the hotel all they but instead only uses the room a place to sleep and shower.All of Orchard road is within walking distance.Also conveniently close to many embassies for visa application and etcetera.",Location
533,"Old Hotel","small old rooms, near the rastaurants and shopping area",Room
534,"nice palce ","good place and easy to go to central ",Location
535,"Still under renovation","The hotel pool and deck area were under renovation but other than that its fine",General
536,"Average hotel","Average hotel in a good location, fine for a quick stop over, but I am sure there are better places to stay",Location
537,"Need renovation","need renovation",General
538,"Location and staff very good","very happy and staff very supportive.",Location
539,"Good location on Tanglin Rd  ","Good location near restaurant and bar, 5 minute walk to Tanglin mall. Clean room and average service. ",Location
540,"a happy customer","this is the 4th time i stayed at here, i think... n the staff so kind.. glad to go back there soon ",General
541,"Ideal location to stay in Ochard","Great location to tourist attractions and public transport. We booked the club room so we were given late checkout at 4pm, which really helped our night flight. We were also provided with mobile internet to asssist us to get around singapore with ease. We have exlcusive access to buffet breakfast for club lounge members as well as complimentary afternoon tea. Excellent service from the help desk staff for club members. We were also provided with complimentary airport premium lounge entries, and were spoilt with good food and great resting atmosphere. Overall, a truly worthwhile stay in Singapore!",Location
542,"Near to many shopping malls","Its good for short holiday ",Location
543,Standard,Standard,General
544,"Great Customer Care","As a returning guest, I have been given complimentary upgrades to a better room. Location is convenient at the end of Orchard Road and close to entertainment after a hard day at the office. Biggest plus point was I was able to access the Changi Airlines Business Lounge that was linked to the Far East Hospitality group following my room upgrade! Much applaud to the management for going the added mile!","Facilities & Services"
545,"Good location","Good location and friendly courteous staff.
Room was nice but fittings and furnishings dated ",Location
546,Okay,"Choose this hotel for locationprice and stay at Club Floor.Check in staff @ Club Lounge is very helpful and good (nice looking Malay lady) but other staffers are not.Although offering free minibar, they do not fill after 2 days and hence called to room service on third day, the lady pick up phone and said will do it, Sir BUT never refill again.Bathtub and shower is too old especially the water tab is not working properly.Other so so and Okay.Price performance is acceptable.",General
547,good,good,General
548,"perfect location!!","overall stay was great. room and bathroom cleanliness could be improved. loved the location as it was very convenient to go anywhere around orchard. ",Location
549,"Not worth for value","The price is slightly high without breakfast. ",General
550,Good,Good,General
551,"Old hotel","Toilet too small, housekeeping very slow, Club Lounge too small, cocktail 
not much food to eat ( lousy )


",General
552,location,location,Location
553,"Nice and convinient as it near Orchard MRT only 10 minutes walk..","Nice and convinient as it near Orchard MRT only 10 minutes walk..",Location
554,Disappointing,"Have always loved far east hospitalitys properties but this visit was quite disappointing with check in dragged till almost 6pm yet given old, worn down rooms. First checkin crew (esp a gentleman named ding xing?) lacked the professionalism of usual far east crew. Ultimately two of our later rooms were upgraded as compensation but definitely a far cry from the other far east standards",General
555,"Location, staff friendly, restaurant in hotel is delicious, ","This is the 2nd I stayed here. Will come back n stay again.",Location
556,"good trip all round!","Average trip good hotel ",General
557,***,"Not Bad for an old Hotel",General
558,"Not a good hotel to stay at this price. Not worth at all!","The staffs wouldntgreet you when they see you, may be I am Asian...
The room is old and no renovation being done... The breakfast is the worst ever I had in any other hotels.",General
559,"Great place to stay for excellent location","Orchard Parade is an excellent hotel for its location due to its proximity to the Orchard shopping malls and MRT station. The only downside to the hotel was its noise - walls were thin between rooms and there were several families staying on our floor and they were shouting, talking loudly with vulgarities.",Location
560,"location is best","location around orchard ",Location
561,"Good location, free parking, excellent staff and near Orchard road","Stayed at 12th for for 2 nights with Daughter and Mother in law for shopping. Very Welcoming staff. Location easy for wheelchair MIL except noisy sound like someone hit the wall from upper level for both nights.Will be return again but at lower floor room.",Location
562,"good overall","good location ; overall good hotel",General
563,"Location, location","Good standards of service and customer care, good sized and well appointed rooms and great location at the end of orchard Road and beginning of Tanglin Road. If you get a good deal price wise take it.",Location
564,"Perfect location","It is in the heart of orchard road, accessible using the orchard mrt",Location
565,"Good short stay","Conveniently located close to Orchard Road, the heart of Singapores shopping district. Take a leisurely walk along the whole stretch lined with all the major shopping malls.",Location
566,"Needs improvement ","PROS: Location is near Orchard MRT which enable us to visit many places easily.
CONS: 
1. Breakfast is limited considering its cost. Replenishment is also limited and at certain times, no longer made despite the fact that breakfast time is still ongoing (supposed to ends at 10:30 am). Worst, they start cleaning the buffet table even if its not yet 10:30 which is disappointing to those having late breakfast. 
2. Just wondering why most cleaning staff, including the one in the breakfast restaurant, are cleaning so fast giving me the impression that they are in a hurry to go home. It makes me think whether the rooms were indeed cleaned well.

",General
567,"Breakfast super limited variety. No value for S$20. No bidet plumbing! Handlebars in shower missing!","Excellent location for shopping. Terrible location for business meetings. Hotel rooms not properly furnished. Lacking basic amenities. No bidet in toilet! No handlebars in shower! Worst soap/shampoo/body lotion tray in shower area! Ancient carpeting! Lighting not user friendly! Outgoing local calls charged, should be free! Housekeeping staff not fully English speaking! No newspapers! Penny pinching facilities! Buffet Breakfast variety zero value for money! No late checkout policy. Not friendly for business travelers! Singapore humid climate not considered in air conditioning comfortadequate drinking water supply. No additional electric outlets for mobile/tablet/laptop charging! Soundproofing of rooms ZERO! Non stop disco music across hotel not conducive for sleep /or relaxation! Terrible cable selection TV! Single service housekeeping, not a standard hotel service! Hotel not conducive to return visits! Even if Im given a free coupon for stay, I wouldnt accept it","Facilities & Services"
568,"Good location ","For this time, our prices are different and it is a bit higher than what we expect",Location
569,"Very nice Family room for my stay","The best hotel we stay for our family with this special deal for family room",General
570,"Good location, value for money","Clean rooms and excellent location from shopping malls.",Location
571,"Convenient but noisy","The location is excellent and the comfort of the room and bed fine but there was a night club that went on until 4 or 5am every night and the beat and vibration could be felt even on the 10 th floor. For this reason only I would not recommend the hotel. ",Location
572,Good,"Its ok",General
573,"doesn't offer something more the five stars hotels","everything its on hi standards. Congratulations to every one",General
574,"good location ","but hotel is old",Location
575,"The design is old but has a good quality","Best location to reach airport, the bus station is only across the street. Very clean room and good location. Definitely will come back again.",Location
576,"Worst hotel reception staff ever!","This is the worst reception at a hotel in 30 years, staying around the world, including budget hotels and motels!1) Impersonal and robotic staff at check-in counter. Did not extend courtesy to understand guests request and only regurgitated hotels position. 2) There were 2 staff at entrance and none offered to assist with luggage. 3) Paid more for Premier room but were old, while the cheaper Deluxe rooms were the renovated ones.4) Breakfast was not worth paying for, and it was the issue at check-in since the restaurant is not part of the hotel and there is a price difference in the room rate for single vs double occupancy. Unlike other hotels with their own FB outlets that do not have a price difference. 5) During checkout, had the bad timing of a fire alarm trigger that delayed the porter as the lifts were stopped for 40 minutes. 6) The only positive from the stay is the Manager who listened intently and took action to re-train the front desk staff. This is absolutely the first and last time that I will stay at this hotel!! ",General
577,"Excellent location, would definately stay at this property again and recommend to others.","Club Rooms worth the additional charge... was nice to drop in for a beer and coffee at the end of the day and the two items of laundry was a bonus..",Location
578,"The hotel is clean and the room is big as well as the bed very comfortable.","The location is accessible to the malls and other establishments. The fees is just reasonable because we were anle to book early.",Room
579,"Great..... ",Great..,General
580,"Great Hotel!!","Booking with Agoda, they give us an unbeatable price. 
The hotel located in Orchard, very near to Ion Mall.
They have a helpful staff, very clean room, we surely will stay here again in the future!",General
581,"Stayed in club room nice and roomy - but bathroom needs renovation ","Very good staff - but bar closes at 10.15pm why ? Club room very nice but small - breakfast room also crowded and have to share a table.
",General
582,"Good stay and happily served.","Convenient
",General
583,Business,"Where do I start
1. Had a club room which has the smallest and oldest bathroom I have encountered
2. Room carpet was very dirty, looks like never steam cleaned
3. Breakfast food quality is poor
4. Breakfast Staff where not very attentive, especially behind the egg station, they leave you standing there and twice I had to ask to be served. No Caf late or cappacino, only filtered coffee with on the table coffee cream additive, absolutely terrible.
Could say more but will never stay there again",General
584,"Nice stay","Great location in orchard ",Location
